Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax5B P4 T0.01,Negamax5B P6 T0.25,Player 1 Win,True,2025-03-08 18:31:56.751204
Negamax5 P6 T0.25,Negamax5 P8 T0.01,Player 2 Win,True,2025-03-08 18:32:04.996290
Negamax5 P8 T0.01,Negamax5 P6 T0.25,Player 1 Win,True,2025-03-08 18:32:12.731317
Negamax5B P8 T0.25,Negamax5B P10,Draw,True,2025-03-08 18:32:27.127276
Negamax5B P10,Negamax5B P8 T0.25,Draw,True,2025-03-08 18:32:40.556569
Negamax3 P8,Negamax5B P8 T0.025,Player 2 Win,True,2025-03-08 18:32:46.024408
Negamax5B P8 T0.025,Negamax3 P8,Player 1 Win,True,2025-03-08 18:32:51.982352
Negamax5B P8 T0.01,Negamax5 P6 T0.025,Player 1 Win,True,2025-03-08 18:32:53.698412
Negamax5 P6 T0.025,Negamax5B P8 T0.01,Draw,True,2025-03-08 18:32:58.521453
Negamax5B P12,Negamax5B P4 T0.1,Player 2 Win,True,2025-03-08 18:33:39.252966
Negamax5B P4 T0.1,Negamax5B P12,Player 1 Win,True,2025-03-08 18:33:52.266312
Negamax5B P6 T0.1,Negamax5B P8 T0.1,Draw,True,2025-03-08 18:33:56.574337
Negamax5B P8 T0.1,Negamax5B P6 T0.1,Player 2 Win,True,2025-03-08 18:34:00.566225
Negamax5B P10 T0.25,Negamax5B P6 T0.25,Player 1 Win,True,2025-03-08 18:34:11.957248
Negamax5B P6 T0.25,Negamax5B P10 T0.25,Draw,True,2025-03-08 18:34:26.013173
Negamax5 P8 T0.01,Negamax5B P8 T0.25,Player 2 Win,True,2025-03-08 18:34:33.938840
Negamax5B P8 T0.25,Negamax5 P8 T0.01,Player 1 Win,True,2025-03-08 18:34:41.123714
Negamax5B P8 T0.025,Negamax5B P8 T0.01,Draw,True,2025-03-08 18:34:42.182204
Negamax5B P8 T0.01,Negamax5B P8 T0.025,Draw,True,2025-03-08 18:34:43.155018
Negamax5B P4 T0.1,Negamax5B P6 T0.1,Player 2 Win,True,2025-03-08 18:34:46.614219
Negamax5B P6 T0.1,Negamax5B P4 T0.1,Player 2 Win,True,2025-03-08 18:34:50.127144
Negamax5B P10 T0.25,Negamax5B P8 T0.25,Player 1 Win,True,2025-03-08 18:34:58.895939
Negamax5B P8 T0.25,Negamax5B P10 T0.25,Player 1 Win,True,2025-03-08 18:35:08.322280
Negamax5B P8 T0.025,Negamax5B P4 T0.1,Player 2 Win,True,2025-03-08 18:35:10.649203
Negamax5B P4 T0.1,Negamax5B P8 T0.025,Draw,True,2025-03-08 18:35:13.440276
Negamax5B P10 T0.25,Negamax5B P4 T0.1,Player 1 Win,True,2025-03-08 18:35:19.980878
Negamax5B P4 T0.1,Negamax5B P10 T0.25,Player 2 Win,True,2025-03-08 18:35:26.422833
